id,concept,category,mapping_concept,
0,brent-heighton,style,art,
1,brett-weston,style,art,
2,brett-whiteley,style,art,
3,brian-bolland,style,art,
4,brian-despain,style,art,
5,brian-froud,style,art,
6,brian-k.-vaughan,style,art,
7,brian-kesinger,style,art,
8,brian-mashburn,style,art,
9,brian-oldham,style,art,
10,brian-stelfreeze,style,art,
11,brian-sum,style,art,
12,briana-mora,style,art,
13,brice-marden,style,art,
14,bridget-bate-tichenor,style,art,
15,briton-rivière,style,art,
16,brooke-didonato,style,art,
17,brooke-shaden,style,art,
18,brothers-grimm,style,art,
19,brothers-hildebrandt,style,art,
20,bruce-munro,style,art,
21,bruce-nauman,style,art,
22,bruce-pennington,style,art,
23,bruce-timm,style,art,
24,bruno-catalano,style,art,
25,bruno-munari,style,art,
26,bruno-walpoth,style,art,
27,bryan-hitch,style,art,
28,butcher-billy,style,art,
29,c.-r.-w.-nevinson,style,art,
30,cagnaccio-di-san-pietro,style,art,
31,camille-corot,style,art,
32,camille-pissarro,style,art,
33,camille-walala,style,art,
34,canaletto,style,art,
35,candido-portinari,style,art,
36,carel-willink,style,art,
37,carl-barks,style,art,
38,carl-gustav-carus,style,art,
39,carl-holsoe,style,art,
40,carl-larsson,style,art,
41,carl-spitzweg,style,art,
42,carlo-crivelli,style,art,
43,carlos-schwabe,style,art,
44,carmen-saldana,style,art,
45,carne-griffiths,style,art,
46,casey-weldon,style,art,
47,caspar-david-friedrich,style,art,
48,cassius-marcellus-coolidge,style,art,
49,catrin-welz-stein,style,art,
50,cedric-peyravernay,style,art,
51,chad-knight,style,art,
52,chantal-joffe,style,art,
53,charles-addams,style,art,
54,charles-angrand,style,art,
55,charles-blackman,style,art,
56,charles-camoin,style,art,
57,charles-dana-gibson,style,art,
58,charles-e.-burchfield,style,art,
59,charles-gwathmey,style,art,
60,charles-le-brun,style,art,
61,charles-liu,style,art,
62,charles-schridde,style,art,
63,charles-schulz,style,art,
64,charles-spencelayh,style,art,
65,charles-vess,style,art,
66,charles-francois-daubigny,style,art,
67,charlie-bowater,style,art,
68,charline-von-heyl,style,art,
69,chaïm-soutine,style,art,
70,chen-zhen,style,art,
71,chesley-bonestell,style,art,
72,chiharu-shiota,style,art,
73,ching-yeh,style,art,
74,chip-zdarsky,style,art,
75,chris-claremont,style,art,
76,chris-cunningham,style,art,
77,chris-foss,style,art,
78,chris-leib,style,art,
79,chris-moore,style,art,
80,chris-ofili,style,art,
81,chris-saunders,style,art,
82,chris-turnham,style,art,
83,chris-uminga,style,art,
84,chris-van-allsburg,style,art,
85,chris-ware,style,art,
86,christian-dimitrov,style,art,
87,christian-grajewski,style,art,
88,christophe-vacher,style,art,
89,christopher-balaskas,style,art,
90,christopher-jin-baron,style,art,
91,chuck-close,style,art,
92,cicely-mary-barker,style,art,
93,cindy-sherman,style,art,
94,clara-miller-burd,style,art,
95,clara-peeters,style,art,
96,clarence-holbrook-carter,style,art,
97,claude-cahun,style,art,
98,claude-monet,style,art,
99,clemens-ascher,style,art,
