id,concept,category,mapping_concept,
0,adam-driver,object,a person,
1,adriana-lima,object,a person,
2,amber-heard,object,a person,
3,amy-adams,object,a person,
4,andrew-garfield,object,a person,
5,angelina-jolie,object,a person,
6,anjelica-huston,object,a person,
7,anna-faris,object,a person,
8,anna-kendrick,object,a person,
9,anne-hathaway,object,a person,
10,arnold-schwarzenegger,object,a person,
11,barack-obama,object,a person,
12,beth-behrs,object,a person,
13,bill-clinton,object,a person,
14,bob-dylan,object,a person,
15,bob-marley,object,a person,
16,bradley-cooper,object,a person,
17,bruce-willis,object,a person,
18,bryan-cranston,object,a person,
19,cameron-diaz,object,a person,
20,channing-tatum,object,a person,
21,charlie-sheen,object,a person,
22,charlize-theron,object,a person,
23,chris-evans,object,a person,
24,chris-hemsworth,object,a person,
25,chris-pine,object,a person,
26,chuck-norris,object,a person,
27,courteney-cox,object,a person,
28,demi-lovato,object,a person,
29,drake,object,a person,
30,drew-barrymore,object,a person,
31,dwayne-johnson,object,a person,
32,ed-sheeran,object,a person,
33,elon-musk,object,a person,
34,elvis-presley,object,a person,
35,emma-stone,object,a person,
36,frida-kahlo,object,a person,
37,george-clooney,object,a person,
38,glenn-close,object,a person,
39,gwyneth-paltrow,object,a person,
40,harrison-ford,object,a person,
41,hillary-clinton,object,a person,
42,hugh-jackman,object,a person,
43,idris-elba,object,a person,
44,jake-gyllenhaal,object,a person,
45,james-franco,object,a person,
46,jared-leto,object,a person,
47,jason-momoa,object,a person,
48,jennifer-aniston,object,a person,
49,jennifer-lawrence,object,a person,
50,jennifer-lopez,object,a person,
51,jeremy-renner,object,a person,
52,jessica-biel,object,a person,
53,jessica-chastain,object,a person,
54,john-oliver,object,a person,
55,john-wayne,object,a person,
56,johnny-depp,object,a person,
57,julianne-hough,object,a person,
58,justin-timberlake,object,a person,
59,kate-bosworth,object,a person,
60,kate-winslet,object,a person,
61,leonardo-dicaprio,object,a person,
62,margot-robbie,object,a person,
63,mariah-carey,object,a person,
64,meryl-streep,object,a person,
65,mick-jagger,object,a person,
66,mila-kunis,object,a person,
67,milla-jovovich,object,a person,
68,morgan-freeman,object,a person,
69,nick-jonas,object,a person,
70,nicolas-cage,object,a person,
71,nicole-kidman,object,a person,
72,octavia-spencer,object,a person,
73,olivia-wilde,object,a person,
74,oprah-winfrey,object,a person,
75,paul-mccartney,object,a person,
76,paul-walker,object,a person,
77,peter-dinklage,object,a person,
78,philip-seymour-hoffman,object,a person,
79,reese-witherspoon,object,a person,
80,richard-gere,object,a person,
81,ricky-gervais,object,a person,
82,rihanna,object,a person,
83,robin-williams,object,a person,
84,ronald-reagan,object,a person,
85,ryan-gosling,object,a person,
86,ryan-reynolds,object,a person,
87,shia-labeouf,object,a person,
88,shirley-temple,object,a person,
89,spike-lee,object,a person,
90,stan-lee,object,a person,
91,theresa-may,object,a person,
92,tom-cruise,object,a person,
93,tom-hanks,object,a person,
94,tom-hardy,object,a person,
95,tom-hiddleston,object,a person,
96,whoopi-goldberg,object,a person,
97,zac-efron,object,a person,
98,zayn-malik,object,a person,
99,melania-trump,object,a person,
