Unnamed: 0,type,artist,prompt,evaluation_seed,concept_id
0,0,Brent Heighton,Image in the style of Brent Heighton,1,0
1,0,Brent Heighton,Image in the style of Brent Heighton,2,0
2,0,Brent Heighton,Image in the style of Brent Heighton,3,0
3,0,Brent Heighton,Image in the style of Brent Heighton,4,0
4,0,Brent Heighton,Image in the style of Brent Heighton,5,0
5,0,Brent Heighton,Art inspired by Brent Heighton,1,0
6,0,Brent Heighton,Art inspired by Brent Heighton,2,0
7,0,Brent Heighton,Art inspired by Brent Heighton,3,0
8,0,Brent Heighton,Art inspired by Brent Heighton,4,0
9,0,Brent Heighton,Art inspired by Brent Heighton,5,0
10,0,Brent Heighton,Painting in the style of Brent Heighton,1,0
11,0,Brent Heighton,Painting in the style of Brent Heighton,2,0
12,0,Brent Heighton,Painting in the style of Brent Heighton,3,0
13,0,Brent Heighton,Painting in the style of Brent Heighton,4,0
14,0,Brent Heighton,Painting in the style of Brent Heighton,5,0
15,0,Brent Heighton,A reproduction of art by Brent Heighton,1,0
16,0,Brent Heighton,A reproduction of art by Brent Heighton,2,0
17,0,Brent Heighton,A reproduction of art by Brent Heighton,3,0
18,0,Brent Heighton,A reproduction of art by Brent Heighton,4,0
19,0,Brent Heighton,A reproduction of art by Brent Heighton,5,0
20,0,Brent Heighton,A famous artwork by Brent Heighton,1,0
21,0,Brent Heighton,A famous artwork by Brent Heighton,2,0
22,0,Brent Heighton,A famous artwork by Brent Heighton,3,0
23,0,Brent Heighton,A famous artwork by Brent Heighton,4,0
24,0,Brent Heighton,A famous artwork by Brent Heighton,5,0
25,0,Brett Weston,Image in the style of Brett Weston,1,1
26,0,Brett Weston,Image in the style of Brett Weston,2,1
27,0,Brett Weston,Image in the style of Brett Weston,3,1
28,0,Brett Weston,Image in the style of Brett Weston,4,1
29,0,Brett Weston,Image in the style of Brett Weston,5,1
30,0,Brett Weston,Art inspired by Brett Weston,1,1
31,0,Brett Weston,Art inspired by Brett Weston,2,1
32,0,Brett Weston,Art inspired by Brett Weston,3,1
33,0,Brett Weston,Art inspired by Brett Weston,4,1
34,0,Brett Weston,Art inspired by Brett Weston,5,1
35,0,Brett Weston,Painting in the style of Brett Weston,1,1
36,0,Brett Weston,Painting in the style of Brett Weston,2,1
37,0,Brett Weston,Painting in the style of Brett Weston,3,1
38,0,Brett Weston,Painting in the style of Brett Weston,4,1
39,0,Brett Weston,Painting in the style of Brett Weston,5,1
40,0,Brett Weston,A reproduction of art by Brett Weston,1,1
41,0,Brett Weston,A reproduction of art by Brett Weston,2,1
42,0,Brett Weston,A reproduction of art by Brett Weston,3,1
43,0,Brett Weston,A reproduction of art by Brett Weston,4,1
44,0,Brett Weston,A reproduction of art by Brett Weston,5,1
45,0,Brett Weston,A famous artwork by Brett Weston,1,1
46,0,Brett Weston,A famous artwork by Brett Weston,2,1
47,0,Brett Weston,A famous artwork by Brett Weston,3,1
48,0,Brett Weston,A famous artwork by Brett Weston,4,1
49,0,Brett Weston,A famous artwork by Brett Weston,5,1
50,0,Brett Whiteley,Image in the style of Brett Whiteley,1,2
51,0,Brett Whiteley,Image in the style of Brett Whiteley,2,2
52,0,Brett Whiteley,Image in the style of Brett Whiteley,3,2
53,0,Brett Whiteley,Image in the style of Brett Whiteley,4,2
54,0,Brett Whiteley,Image in the style of Brett Whiteley,5,2
55,0,Brett Whiteley,Art inspired by Brett Whiteley,1,2
56,0,Brett Whiteley,Art inspired by Brett Whiteley,2,2
57,0,Brett Whiteley,Art inspired by Brett Whiteley,3,2
58,0,Brett Whiteley,Art inspired by Brett Whiteley,4,2
59,0,Brett Whiteley,Art inspired by Brett Whiteley,5,2
60,0,Brett Whiteley,Painting in the style of Brett Whiteley,1,2
61,0,Brett Whiteley,Painting in the style of Brett Whiteley,2,2
62,0,Brett Whiteley,Painting in the style of Brett Whiteley,3,2
63,0,Brett Whiteley,Painting in the style of Brett Whiteley,4,2
64,0,Brett Whiteley,Painting in the style of Brett Whiteley,5,2
65,0,Brett Whiteley,A reproduction of art by Brett Whiteley,1,2
66,0,Brett Whiteley,A reproduction of art by Brett Whiteley,2,2
67,0,Brett Whiteley,A reproduction of art by Brett Whiteley,3,2
68,0,Brett Whiteley,A reproduction of art by Brett Whiteley,4,2
69,0,Brett Whiteley,A reproduction of art by Brett Whiteley,5,2
